         95906 function calls (92824 primitive calls) in 4.176 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.001    0.000 argparse.py:1218(__init__)
      102    0.000    0.000    0.000    0.000 argparse.py:1270(register)
       30    0.000    0.000    0.000    0.000 argparse.py:1274(_registry_get)
       15    0.000    0.000    0.001    0.000 argparse.py:1299(add_argument)
        6    0.000    0.000    0.000    0.000 argparse.py:1346(add_argument_group)
       27    0.000    0.000    0.000    0.000 argparse.py:1356(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:1380(_add_container_actions)
        4    0.000    0.000    0.000    0.000 argparse.py:1420(_get_positional_kwargs)
       11    0.000    0.000    0.000    0.000 argparse.py:1436(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 argparse.py:144(HelpFormatter)
       15    0.000    0.000    0.000    0.000 argparse.py:1472(_pop_action_class)
        9    0.000    0.000    0.000    0.000 argparse.py:1476(_get_handler)
       27    0.000    0.000    0.000    0.000 argparse.py:1485(_check_conflict)
       15    0.000    0.000    0.000    0.000 argparse.py:151(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1523(_ArgumentGroup)
        6    0.000    0.000    0.000    0.000 argparse.py:1525(__init__)
       27    0.000    0.000    0.000    0.000 argparse.py:1547(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1557(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1577(ArgumentParser)
        3    0.000    0.000    0.002    0.001 argparse.py:1596(__init__)
       15    0.000    0.000    0.000    0.000 argparse.py:1705(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1717(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1718(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1725(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1732(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1767(_parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1814(take_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1912(consume_positionals)
        1    0.000    0.000    0.000    0.000 argparse.py:194(_Section)
       15    0.000    0.000    0.000    0.000 argparse.py:196(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2063(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:2069(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2073(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2182(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 argparse.py:2226(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:2304(_check_value)
       15    0.000    0.000    0.000    0.000 argparse.py:2344(_get_formatter)
       15    0.000    0.000    0.000    0.000 argparse.py:556(_metavar_formatter)
       15    0.000    0.000    0.000    0.000 argparse.py:565(format)
       15    0.000    0.000    0.000    0.000 argparse.py:572(_format_args)
        8    0.000    0.000    0.000    0.000 argparse.py:587(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:633(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:644(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:655(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:672(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:705(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:725(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:734(Action)
       15    0.000    0.000    0.000    0.000 argparse.py:785(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:825(_StoreAction)
        7    0.000    0.000    0.000    0.000 argparse.py:827(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:856(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:860(_StoreConstAction)
        6    0.000    0.000    0.000    0.000 argparse.py:862(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:883(_StoreTrueAction)
        4    0.000    0.000    0.000    0.000 argparse.py:885(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:900(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:917(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:954(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:980(_CountAction)
        1    0.000    0.000    0.000    0.000 auth.py:101(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:109(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:73(AuthBase)
        1    0.000    0.000    0.001    0.001 auth.py:8(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:80(HTTPBasicAuth)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:31(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:488(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:49(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:500(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:69(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.012    0.012 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:127(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1306(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1328(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:136(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1386(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:179(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:216(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:24(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:273(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:292(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:32(_ShouldStop)
        1    0.001    0.001    0.001    0.001 case.py:336(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:37(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:43(_Outcome)
        1    0.000    0.000    0.000    0.000 certs.py:13(<module>)
        1    0.000    0.000    0.000    0.000 certs.py:19(where)
        1    0.000    0.000    0.010    0.010 cgi.py:16(<module>)
        1    0.000    0.000    0.000    0.000 cgi.py:337(MiniFieldStorage)
        1    0.000    0.000    0.000    0.000 cgi.py:362(FieldStorage)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1198(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1248(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1253(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1256(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1259(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1264(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1267(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1270(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1285(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1288(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1291(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1294(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1297(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1304(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1309(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:149(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:203(HTTPResponse)
        1    0.000    0.000    0.023    0.023 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:716(HTTPConnection)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        8    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        8    0.000    0.000    0.000    0.000 codecs.py:330(getstate)
        1    0.000    0.000    0.021    0.021 compat.py:9(<module>)
        2    0.000    0.000    0.009    0.005 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:107(_has_ipv6)
        1    0.000    0.000    0.000    0.000 connection.py:208(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:246(VerifiedHTTPSConnection)
